Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,industry,Summary Quote,Unnamed: 9,exchange,dateextracted
$TFSC,1347 Capital Corp.,9.56,56862880.0,n/a,2014,Finance,Business Services,http://www.nasdaq.com/symbol/tfsc,,Nasdaq,2014-12-07 09:08:00.734811
$TFSCR,1347 Capital Corp.,0.38,0.0,n/a,2014,Finance,Business Services,http://www.nasdaq.com/symbol/tfscr,,Nasdaq,2014-12-07 09:08:00.734811
$TFSCU,1347 Capital Corp.,10.01,41841800.0,n/a,2014,n/a,n/a,http://www.nasdaq.com/symbol/tfscu,,Nasdaq,2014-12-07 09:08:00.734811
$TFSCW,1347 Capital Corp.,0.21,0.0,n/a,2014,Finance,Business Services,http://www.nasdaq.com/symbol/tfscw,,Nasdaq,2014-12-07 09:08:00.734811
$PIH,"1347 Property Insurance Holdings, Inc.",7.72,49084725.0,n/a,2014,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/pih,,Nasdaq,2014-12-07 09:08:00.734811
$FLWS,"1-800 FLOWERS.COM, Inc.",7.86,504405494.22,n/a,1999,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/flws,,Nasdaq,2014-12-07 09:08:00.734811
$FCTY,"1st Century Bancshares, Inc",6.71,68080183.38,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fcty,,Nasdaq,2014-12-07 09:08:00.734811
$FCCY,1st Constitution Bancorp (NJ),10.68,76199386.32,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/fccy,,Nasdaq,2014-12-07 09:08:00.734811
$SRCE,1st Source Corporation,31.69,756194797.57,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/srce,,Nasdaq,2014-12-07 09:08:00.734811
$VNET,"21Vianet Group, Inc.",18.2,1194830000.0,n/a,2011,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/vnet,,Nasdaq,2014-12-07 09:08:00.734811
$TWOU,"2U, Inc.",18.71,758540689.03,n/a,2014,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/twou,,Nasdaq,2014-12-07 09:08:00.734811
$DGLD,3X Inverse Gold ETN Velocityshares,76.87,10455088.7,n/a,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/dgld,,Nasdaq,2014-12-07 09:08:00.734811
$JOBS,"51job, Inc.",36.84,2175154103.64,n/a,2004,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/jobs,,Nasdaq,2014-12-07 09:08:00.734811
$EGHT,8x8 Inc,7.71,689751133.35,n/a,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/eght,,Nasdaq,2014-12-07 09:08:00.734811
$AVHI,"A V Homes, Inc.",14.09,311341263.08,n/a,n/a,Capital Goods,Homebuilding,http://www.nasdaq.com/symbol/avhi,,Nasdaq,2014-12-07 09:08:00.734811
$SHLM,"A. Schulman, Inc.",39.31,1144990703.72,n/a,1972,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/shlm,,Nasdaq,2014-12-07 09:08:00.734811
$AAON,"AAON, Inc.",21.17,1153160998.73,n/a,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aaon,,Nasdaq,2014-12-07 09:08:00.734811
$ABAX,"ABAXIS, Inc.",57.5,1295820000.0,n/a,1992,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/abax,,Nasdaq,2014-12-07 09:08:00.734811
$ABY,Abengoa Yield plc,28.2,2256000000.0,n/a,2014,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/aby,,Nasdaq,2014-12-07 09:08:00.734811
